City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Ponta Do Sol,PT,2020-02-17 03:15:08,32.67,-17.1,62.6,72,20,6.93
231,Saint-Pierre,RE,2020-02-17 03:15:08,-21.34,55.48,77.0,65,12,4.7
232,Helong,CN,2020-02-17 03:15:09,42.54,129.0,8.46,87,100,5.48
233,Awjilah,LY,2020-02-17 03:15:09,29.11,21.29,53.24,72,10,9.13
234,Morros,BR,2020-02-17 03:15:09,-9.45,-46.3,73.31,88,14,3.91
235,Baleshwar,IN,2020-02-17 03:15:09,21.49,86.93,73.62,31,0,8.68
236,Faya,SA,2020-02-17 03:15:10,18.39,42.45,59.0,47,0,11.41
237,Half Moon Bay,US,2020-02-17 03:15:10,37.46,-122.43,57.99,87,90,23.04
238,Tamiahua,MX,2020-02-17 03:15:10,21.27,-97.45,72.0,93,18,3.69
239,Birjand,IR,2020-02-17 03:15:11,32.87,59.22,39.2,27,74,9.17
240,Moron,AR,2020-02-17 03:15:11,-34.65,-58.62,77.0,100,40,5.82
241,Bubaque,GW,2020-02-17 03:15:11,11.28,-15.83,78.33,74,85,13.62
242,Panvel,IN,2020-02-17 03:15:11,18.98,73.1,78.8,57,0,5.12
243,Kaeo,NZ,2020-02-17 03:15:12,-35.1,173.78,82.99,78,82,1.01
244,Aksarka,RU,2020-02-17 03:15:12,66.56,67.8,1.62,98,100,10.36
245,Dzerzhinskoye,RU,2020-02-17 03:15:12,56.83,95.23,10.11,94,0,1.74
246,Pitimbu,BR,2020-02-17 03:15:12,-7.47,-34.81,78.8,94,40,4.7
247,Salalah,OM,2020-02-17 03:15:13,17.02,54.09,66.2,59,0,6.93
248,Bonavista,CA,2020-02-17 03:15:13,48.65,-53.11,32.0,87,88,13.0
249,Thompson,CA,2020-02-17 03:15:13,55.74,-97.86,-7.6,69,90,3.36
250,Leninskoye,RU,2020-02-17 03:15:13,47.94,132.62,12.27,74,100,6.78
251,Airai,TL,2020-02-17 03:15:14,-8.93,125.41,82.51,63,99,5.12
252,Yuzhnyy,RU,2020-02-17 03:15:14,53.25,83.69,26.6,86,75,11.18
253,Katsuura,JP,2020-02-17 03:15:14,35.13,140.3,63.0,82,40,5.82
254,Chokurdakh,RU,2020-02-17 03:15:14,70.63,147.92,-2.58,96,95,10.92
255,Chilca,PE,2020-02-17 03:15:15,-12.52,-76.74,75.2,78,97,17.22
256,Luanda,AO,2020-02-17 03:12:37,-8.84,13.23,78.8,88,40,5.82
257,Flin Flon,CA,2020-02-17 03:11:53,54.77,-101.86,-5.33,98,95,2.95
258,Vitry-Le-Francois,FR,2020-02-17 03:15:15,48.73,4.58,48.2,87,100,12.75
259,Kaili,ID,2020-02-17 03:15:15,-3.46,120.21,71.82,86,88,2.46
260,Amposta,ES,2020-02-17 03:15:16,40.71,0.58,53.6,87,90,3.36
261,Garmsar,IR,2020-02-17 03:15:16,35.22,52.34,40.78,46,76,0.89
262,Pistoia,IT,2020-02-17 03:15:16,43.97,10.83,48.0,87,90,2.24
263,Mahebourg,MU,2020-02-17 03:15:16,-20.41,57.7,78.8,69,75,8.05
264,Gizo,SB,2020-02-17 03:15:17,-8.1,156.84,78.94,85,100,15.57
265,Mananjary,MG,2020-02-17 03:15:17,-21.22,48.33,76.1,91,100,6.44
266,Valdivia,CL,2020-02-17 03:15:17,-39.81,-73.25,55.4,76,100,3.36
267,Ejido,VE,2020-02-17 03:15:17,8.55,-71.24,47.66,92,100,3.74
268,Rio Gallegos,AR,2020-02-17 03:15:18,-51.62,-69.22,46.4,61,0,11.41
269,Nacozari,MX,2020-02-17 03:15:18,25.34,-108.26,70.0,63,100,7.0
270,Sao Geraldo Do Araguaia,BR,2020-02-17 03:15:18,-6.4,-48.55,72.95,91,22,2.26
271,Kulhudhuffushi,MV,2020-02-17 03:15:18,6.62,73.07,82.36,79,1,15.88
272,Lagoa,PT,2020-02-17 03:15:18,39.05,-27.98,56.19,58,100,12.71
273,Hoquiam,US,2020-02-17 03:15:19,46.98,-123.89,44.01,81,75,11.41
274,Babu,CN,2020-02-17 03:15:19,24.42,111.52,50.85,49,9,8.88
275,Francisco Beltrao,BR,2020-02-17 03:11:45,-26.08,-53.05,68.99,90,100,2.64
276,Greytown,ZA,2020-02-17 03:15:19,-29.06,30.59,57.92,71,0,1.74
277,Vesele,UA,2020-02-17 03:15:20,47.01,34.91,31.8,87,0,7.23
278,Pacific Grove,US,2020-02-17 03:15:20,36.62,-121.92,57.0,81,1,8.05
279,Takoradi,GH,2020-02-17 03:15:20,4.88,-1.76,77.32,94,11,3.2
280,Papara,BR,2020-02-17 03:15:20,-3.98,-38.73,79.0,83,20,2.24
281,Ambon,ID,2020-02-17 03:15:21,-3.7,128.18,95.0,50,75,8.05
282,Vila Franca Do Campo,PT,2020-02-17 03:15:21,37.72,-25.43,53.6,71,20,6.93
283,Nokaneng,BW,2020-02-17 03:15:21,-19.67,22.27,69.35,90,96,6.02
284,Kavaratti,IN,2020-02-17 03:15:21,10.57,72.64,82.4,74,20,4.7
285,Xinqing,CN,2020-02-17 03:15:21,48.23,129.5,6.37,71,82,6.04
286,Ipira,BR,2020-02-17 03:15:22,-12.16,-39.74,73.81,83,0,5.26
287,Mackay,AU,2020-02-17 03:15:22,-21.15,149.2,90.0,70,11,12.75
288,Labuan,MY,2020-02-17 03:15:22,5.28,115.24,86.0,66,75,8.05
289,Dustlik,UZ,2020-02-17 03:15:22,40.52,68.04,36.75,77,100,4.12
290,Bengkulu,ID,2020-02-17 03:15:23,-3.8,102.27,83.68,62,63,1.5
291,Turukhansk,RU,2020-02-17 03:15:23,65.82,87.98,5.22,95,100,6.89
